CustomerID,UserID,IsDeleted
1,21,0
2,22,0
3,23,0
4,24,0
5,25,0
6,26,0
7,27,0
8,28,0
9,29,0
10,30,0
11,31,0
12,32,0
13,33,0
14,34,0
15,35,0
16,36,0
17,37,0
18,38,0
19,39,0
20,40,0
21,41,0
22,42,0
23,43,0
24,44,0
25,45,0
26,46,0
27,47,0
28,48,0
29,49,0
30,50,0
31,51,0
32,52,0
33,53,0
34,54,0
35,55,0
36,56,0
37,57,0
38,58,0
39,59,0
40,60,0
41,61,0
42,62,0
43,63,0
44,64,0
45,65,0
46,66,0
47,67,0
48,68,0
49,69,0
50,70,0
51,71,0
52,72,0
53,73,0
54,74,0
55,75,0
56,76,0
57,77,0
58,78,0
59,79,0
60,80,0
61,81,0
62,82,0
63,83,0
64,84,0
65,85,0
66,86,0
67,87,0
68,88,0
69,89,0
70,90,0
71,91,0
72,92,0
73,93,0
74,94,0
75,95,0
76,96,0
77,97,0
78,98,0
79,99,0
80,100,0
81,101,0
82,102,0
83,103,0
84,104,0
85,105,0
86,106,0
87,107,0
88,108,0
89,109,0
90,110,0
91,111,0
92,112,0
93,113,0
94,114,0
95,115,0
96,116,0
97,117,0
98,118,0
99,119,0
100,120,0
