RentalDetailID,RentalID,BookID,QuantityOfBook
1,1,151,1
2,2,223,1
3,3,92,3
4,4,69,1
5,5,63,1
6,6,4,1
7,7,191,1
8,8,124,2
9,9,80,3
10,10,95,2
11,11,214,1
12,12,130,3
13,13,206,2
14,14,45,1
15,15,123,2
16,16,120,3
17,17,20,2
18,18,164,2
19,19,66,1
20,20,109,2
21,21,192,1
22,22,137,2
23,23,219,2
24,24,64,2
25,25,172,3
26,26,158,2
27,27,12,1
28,28,87,3
29,29,225,1
30,30,176,1
31,31,126,1
32,32,104,3
33,33,126,3
34,34,242,2
35,35,38,1
36,36,221,2
37,37,239,1
38,38,11,2
39,39,116,1
40,40,180,3
41,41,97,1
42,42,65,1
43,43,164,2
44,44,29,3
45,45,239,1
46,46,11,2
47,47,13,2
48,48,142,1
49,49,237,1
50,50,16,3
51,51,169,2
52,52,193,1
53,53,138,1
54,54,29,1
55,55,179,2
56,56,60,3
57,57,220,2
58,58,141,3
59,59,166,1
60,60,83,2
61,61,5,2
62,62,206,3
63,63,134,3
64,64,78,1
65,65,140,2
66,66,217,3
67,67,182,1
68,68,146,2
69,69,219,1
70,70,40,3
71,71,82,1
72,72,18,3
73,73,55,1
74,74,24,2
75,75,8,3
76,76,216,2
77,77,148,2
78,78,2,3
79,79,134,2
80,80,34,1
81,81,4,3
82,82,19,3
83,83,35,2
84,84,55,1
85,85,109,3
86,86,241,2
87,87,237,1
88,88,109,1
89,89,94,3
90,90,92,1
91,91,154,3
92,92,4,2
93,93,124,3
94,94,145,1
95,95,125,1
96,96,246,3
97,97,123,3
98,98,182,1
99,99,6,3
100,100,200,1
101,101,197,2
102,102,25,2
103,103,201,1
104,104,249,1
105,105,11,1
106,106,137,2
107,107,142,3
108,108,173,3
109,109,210,2
110,110,100,3
111,111,95,2
112,112,109,3
113,113,23,3
114,114,226,1
115,115,82,2
116,116,120,3
117,117,120,3
118,118,18,1
119,119,178,1
120,120,180,3
121,121,39,3
122,122,178,2
123,123,236,2
124,124,37,1
125,125,111,1
126,126,221,2
127,127,90,1
128,128,16,3
129,129,174,1
130,130,53,1
131,131,44,3
132,132,75,1
133,133,243,1
134,134,108,2
135,135,101,1
136,136,89,1
137,137,10,3
138,138,5,1
139,139,126,3
140,140,150,1
141,141,45,2
142,142,50,2
143,143,149,1
144,144,71,1
145,145,102,3
146,146,134,3
147,147,39,3
148,148,123,1
149,149,161,2
150,150,235,3
