LessonID,StudentID,SubjectID,PaymentID,CategoryID,StartDate,StartTime,LessonType
1,47,8,25,1,2025-06-01,16:00:00,A Domicilio
2,67,8,27,7,2025-10-01,20:00:00,Individuale
3,57,10,40,8,2025-05-06,14:30:00,A Domicilio
4,53,9,NULL,8,2025-07-07,16:30:00,A Domicilio
5,63,8,64,2,2025-05-05,16:30:00,Online
6,45,9,NULL,5,2025-11-07,19:30:00,Gruppo
7,56,8,118,8,2025-07-10,19:00:00,A Domicilio
8,46,8,63,6,2025-06-11,17:30:00,Individuale
9,57,14,91,1,2025-11-02,20:00:00,Individuale
10,25,13,1,1,2025-05-21,16:30:00,Gruppo
11,41,14,85,6,2025-06-05,17:00:00,Gruppo
12,1,4,NULL,4,2025-08-12,18:00:00,A Domicilio
13,60,3,11,3,2025-10-20,17:30:00,Gruppo
14,18,14,41,2,2025-07-06,20:00:00,Online
15,66,6,86,4,2025-09-14,17:00:00,A Domicilio
16,21,11,30,3,2025-06-04,18:30:00,Individuale
17,36,3,NULL,6,2025-11-06,20:00:00,A Domicilio
18,63,6,72,1,2025-10-24,16:00:00,Online
19,32,1,NULL,2,2025-09-17,19:00:00,Gruppo
20,58,8,NULL,1,2025-07-16,14:00:00,Individuale
21,42,9,109,1,2025-11-01,18:00:00,Gruppo
22,18,7,36,4,2025-09-20,20:30:00,Online
23,17,6,95,4,2025-05-27,17:30:00,A Domicilio
24,39,15,NULL,4,2025-10-18,17:00:00,Gruppo
25,24,9,NULL,1,2025-07-29,18:30:00,Online
26,55,5,81,8,2025-08-17,14:30:00,Online
27,2,11,2,6,2025-10-24,15:00:00,Gruppo
28,12,8,131,2,2025-09-30,16:30:00,Individuale
29,10,11,108,2,2025-09-06,20:00:00,Individuale
30,26,4,15,4,2025-10-04,19:00:00,A Domicilio
31,37,11,98,2,2025-05-23,14:30:00,Online
32,26,5,1,6,2025-08-09,19:00:00,Online
33,1,8,NULL,7,2025-07-16,19:30:00,Individuale
34,68,10,19,2,2025-08-24,17:30:00,Individuale
35,12,10,112,6,2025-09-26,17:00:00,Online
36,79,9,1,6,2025-08-30,14:00:00,A Domicilio
37,71,5,81,6,2025-08-29,20:30:00,Individuale
