PaymentID,PayerID,Amount,PaymentMethod,PaymentDate
1,24,139.06,Contanti,2025-06-16
2,51,59.61,Bonifico,2025-07-19
3,67,92.17,Bonifico,2025-05-30
4,54,84.28,PayPal,2025-07-29
5,59,24.14,Bonifico,2025-05-15
6,26,98.88,Bonifico,2025-09-22
7,43,135.68,Satispay,2025-08-28
8,66,31.92,Contanti,2025-06-28
9,6,119.92,PayPal,2025-06-20
10,14,87.35,Contanti,2025-08-25
11,91,65.11,Contanti,2025-05-24
12,88,115.74,PayPal,2025-06-24
13,79,56.48,PayPal,2025-07-26
14,62,114.52,Contanti,2025-07-03
15,29,75.15,PayPal,2025-06-21
16,87,139.33,Contanti,2025-05-19
17,25,29.99,Carta di Credito,2025-04-22
18,45,39.55,Bonifico,2025-08-18
19,50,112.93,Contanti,2025-06-30
20,6,55.61,Carta di Credito,2025-09-19
21,19,36.67,PayPal,2025-06-02
22,26,59.93,Contanti,2025-06-13
23,66,30.34,Contanti,2025-05-23
24,6,67.94,Bonifico,2025-07-11
25,75,80.43,Bonifico,2025-05-10
26,46,91.93,Bonifico,2025-06-20
27,12,20.13,Contanti,2025-06-26
28,65,42.99,Carta di Credito,2025-08-28
29,67,17.05,Bonifico,2025-08-27
30,76,86.77,Bonifico,2025-09-12
31,4,70.97,PayPal,2025-08-10
32,50,18.69,PayPal,2025-10-01
33,85,125.2,Satispay,2025-10-04
34,57,58.1,Contanti,2025-04-19
35,39,57.28,Bonifico,2025-07-05
36,8,91.32,Satispay,2025-07-21
37,16,80.63,Contanti,2025-05-13
38,7,38.51,PayPal,2025-09-19
39,59,85.89,Carta di Credito,2025-06-09
40,29,22.95,Bonifico,2025-08-13
41,21,115.59,Carta di Credito,2025-07-08
42,88,88.34,Carta di Credito,2025-09-12
43,71,136.51,Satispay,2025-05-31
44,21,101.38,Carta di Credito,2025-09-03
45,10,102.83,Contanti,2025-04-18
46,13,124.06,PayPal,2025-09-05
47,36,46.82,Bonifico,2025-09-07
48,89,64.97,Carta di Credito,2025-08-20
49,32,69.48,Carta di Credito,2025-10-01
50,4,29.64,Satispay,2025-08-22
51,48,137.89,Bonifico,2025-08-31
52,11,81.58,Carta di Credito,2025-07-26
53,32,29.99,Carta di Credito,2025-08-12
54,16,72.33,Bonifico,2025-07-01
55,50,113.37,PayPal,2025-06-09
56,100,133.91,Bonifico,2025-09-08
57,94,15.76,PayPal,2025-09-23
58,62,123.86,PayPal,2025-04-21
59,81,100.21,PayPal,2025-10-09
60,47,113.16,Bonifico,2025-04-22
61,30,148.11,Contanti,2025-09-05
62,72,48.92,Contanti,2025-06-06
63,75,35.43,Bonifico,2025-04-19
64,79,43.78,Satispay,2025-07-08
65,4,83.88,Bonifico,2025-07-02
66,88,68.1,Satispay,2025-08-02
67,82,121.78,Carta di Credito,2025-07-26
68,36,90.93,Satispay,2025-09-08
69,85,87.52,Carta di Credito,2025-06-26
70,84,80.14,Bonifico,2025-10-11
71,13,21.41,Contanti,2025-08-01
72,53,104.57,Carta di Credito,2025-06-22
73,50,27.51,Contanti,2025-08-15
74,80,46.03,Contanti,2025-08-03
75,2,36.0,PayPal,2025-08-10
76,35,128.61,Bonifico,2025-05-25
77,42,36.65,Satispay,2025-07-23
78,46,73.04,Bonifico,2025-07-04
79,59,96.07,Contanti,2025-10-08
80,64,105.63,Bonifico,2025-07-12
81,48,118.6,Satispay,2025-09-17
82,17,122.52,Carta di Credito,2025-06-30
83,60,108.41,PayPal,2025-08-08
84,61,70.28,Bonifico,2025-06-13
85,63,83.61,PayPal,2025-09-19
86,54,45.86,PayPal,2025-09-14
87,69,35.24,Contanti,2025-05-09
88,97,148.02,Contanti,2025-10-13
89,9,31.9,Bonifico,2025-07-23
90,13,44.03,PayPal,2025-09-30
91,84,94.33,Satispay,2025-06-20
92,79,52.38,Satispay,2025-09-19
93,51,61.81,Contanti,2025-07-03
94,57,31.34,Carta di Credito,2025-09-10
95,33,57.6,Contanti,2025-09-26
96,87,107.47,Contanti,2025-05-28
97,68,32.37,Bonifico,2025-08-21
98,33,51.19,PayPal,2025-10-11
99,90,25.75,Bonifico,2025-04-27
100,6,111.08,Bonifico,2025-06-13
101,49,19.83,Carta di Credito,2025-04-20
102,23,71.81,Bonifico,2025-09-10
103,19,83.85,Carta di Credito,2025-10-04
104,10,63.12,Bonifico,2025-05-11
105,46,24.7,Bonifico,2025-04-20
106,28,61.18,PayPal,2025-07-16
107,52,88.1,Contanti,2025-06-04
108,61,36.94,Satispay,2025-07-08
109,17,90.27,Carta di Credito,2025-05-28
110,33,74.99,Bonifico,2025-04-21
111,95,35.86,Satispay,2025-10-07
112,33,141.48,PayPal,2025-06-18
113,73,15.31,PayPal,2025-10-11
114,26,69.15,Carta di Credito,2025-10-14
115,14,136.52,Satispay,2025-05-10
116,65,77.63,Bonifico,2025-05-28
117,76,104.41,Contanti,2025-05-04
118,98,70.65,Contanti,2025-05-12
119,52,100.92,PayPal,2025-08-07
120,67,32.87,Bonifico,2025-06-27
121,55,101.01,Bonifico,2025-05-30
122,16,47.93,PayPal,2025-06-25
123,95,68.47,Satispay,2025-10-01
124,50,43.82,PayPal,2025-06-21
125,92,54.38,Satispay,2025-04-16
126,63,75.87,Contanti,2025-08-03
127,76,79.06,Contanti,2025-08-14
128,25,38.58,Bonifico,2025-07-13
129,75,136.94,Satispay,2025-05-04
130,23,38.95,Contanti,2025-06-07
131,97,32.41,Contanti,2025-05-11
132,69,31.47,PayPal,2025-06-20
133,75,80.01,Bonifico,2025-04-18
134,4,100.84,Contanti,2025-07-10
135,40,70.61,Carta di Credito,2025-09-27
136,20,24.92,Carta di Credito,2025-05-02
137,95,146.57,Bonifico,2025-07-07
138,49,126.99,Bonifico,2025-09-24
139,56,130.48,PayPal,2025-07-29
140,50,141.19,Contanti,2025-10-12
141,90,61.42,Carta di Credito,2025-08-11
142,35,31.17,Contanti,2025-07-18
143,14,42.33,Carta di Credito,2025-08-27
144,72,58.66,Carta di Credito,2025-09-29
145,96,39.61,PayPal,2025-09-28
146,16,18.32,Bonifico,2025-08-02
147,14,46.53,Bonifico,2025-07-21
148,25,103.71,Satispay,2025-07-28
149,43,71.81,Satispay,2025-08-07
150,53,71.72,Contanti,2025-07-23
